,M.Code.ID,C.Code.ID,X.3,X.2,Release.Date,Release.Time,Species,Floy.Tag.ID,EMG.ID,Sex.M.F.U,Weight..kg.,STD.Length..mm.SBF,Flat.Length..mm.PDF,Curved.Length..mm.PDF,Block.Length..mm.PDF,Girth..mm.................PDF,Release.GPS.Coordinates,X,X.1,life,expire,expire2,Channel,Frequency,Estimated.Life
875,77000,52,,,12/19/23,15:07,PDF,1699,,M,11.9,,930,945,785,550,"32.29750, -87.09589",,,,,,,166.62,736
876,77100,53,,,12/19/23,15:24,PDF,1698,,M,15.75,,1025,1050,885,594,"32.29750, -87.09589",,,,,,,166.62,736
877,76700,49,,,1/5/24,10:37,PDF,1697,,F,9.54,,879,905,722,520,"32.31858, -87.09401",,,,,,,166.62,736
878,76800,50,,,1/5/24,15:12,PDF,1696,,F,16.86,,1035,1031,814,673,"32.37101, -87.05054",,,,,,,166.62,736
879,76900,51,,,1/5/24,15:25,PDF,1695,,M,6.01,,776,775,631,404,"32.37101, -87.05054",,,,,,,166.62,736
880,76600,48,,,2/19/24,13:38,PDF,1905,,F,11.42,,871,884,731,564,"32.37112, -87.05061",,,,,,,166.62,736
881,76400,46,,,2/19/24,13:53,PDF,1799,,M,9.46,,873,881,725,486,"32.37112, -87.05061",,,,,,,166.62,736
882,76500,47,,,2/19/24,14:08,PDF,1881,,U,7.22,,860,874,761,434,"32.37112, -87.05061",,,,,,,166.62,736
883,76300,45,,,2/19/24,14:21,PDF,1880,,U,5.65,,710,722,604,422,"32.37112, -87.05061",,,,,,,166.62,736
884,76200,44,,,3/4/24,11:22,PDF,1910,,U,8.81,,820,819,692,504,"32.37130, -87.05071",,,,,,,166.62,736
885,76100,43,,,3/4/24,11:41,PDF,1906,,U,8.975,,865,881,727,482,"32.37130, -87.05071",,,,,,,166.62,736
886,76000,42,,,3/4/24,11:50,PDF,1909,,U,6.72,,809,824,680,455,"32.37130, -87.05071",,,,,,,166.62,736
887,75900,41,,,3/4/24,12:00,PDF,1908,,F,8.53,,859,864,734,504,"32.37130, -87.05071",,,,,,,166.62,736
888,75800,40,,,3/4/24,12:10,PDF,1907,,U,6.75,,819,833,688,417,"32.37130, -87.05071",,,,,,,166.62,736
889,75700,39,,,3/4/24,12:21,PDF,2538,,U,4.57,,717,734,599,369,"32.37130, -87.05071",,,,,,,166.62,736
890,75600,38,,,3/4/24,12:33,PDF,2539,,F,11.94,,869,876,733,639,"32.37130, -87.05071",,,,,,,166.62,736
891,75500,37,,,3/4/24,12:40,PDF,2540,,F,5.46,,727,736,600,423,"32.37130, -87.05071",,,,,,,166.62,736
892,75400,36,,,3/4/24,12:49,PDF,2541,,F,14.5,,998,1015,820,621,"32.37130, -87.05071",,,,,,,166.62,736
893,75300,35,,,3/4/24,13:38,PDF,2549,,U,8.33,,815,830,699,476,"32.37130, -87.05071",,,,,,,166.62,736
894,75200,34,,,3/4/24,,PDF,2548,,F,7.81,,775,786,648,488,"32.37130, -87.05071",,,,,,,166.62,736
895,79100,73,,,3/14/24,11:48,PDF,2547,,F,7.435,,865,875,726,424,"32.37132, -87.05180",,,,,,,166.62,736
896,79000,72,,,3/14/24,12:00,PDF,2546,,F,8.625,,868,879,734,519,"32.37132, -87.05180",,,,,,,166.62,736
897,78900,71,,,3/14/24,12:17,PDF,2542,,U,8.325,,860,873,825,478,"32.37132, -87.05180",,,,,,,166.62,736
898,78800,70,,,3/14/24,12:37,PDF,2545,,U,8.445,,878,889,735,476,"32.37132, -87.05180",,,,,,,166.62,736