BATCH,Beacon,Serial#,Release,Release Code,River Mile,RKM,Locale,GPS Coords,,Active,INACTIVE DATE,Init Deployment,Last Changed,Last Downloaded
MF BANK,3028,,,,214,344.4,,N 32.35896,W 086.94094,YES,,10/7/21,,
MF BANK,3027,,,,193,310.6,,N 32.32270,W 087.03010,YES,,10/7/21,,
MF BANK,3026,,,,178.5,287.3,,N 32.22710,W 087.14364,YES,,10/7/21,,
MF BANK,3025,,,,202,325,down selma,N 32.38801,W 87.07335,YES,,9/13/21,,
MF BANK,3024,,,,183.8,295.8,,N 32.15510,W 087.05331,Yes,,3/1/21,,
MF BANK,3023,,,,235,376,,N 32.320841,W 86.784912,YES,,3/3/21,,
MF BANK,3022,,,,220,352,,N 32.436627,W 86.846341,YES,,3/3/21,,
MF BANK,3021,,,,165,264,,N 32.16207,W 87.121100,YES,,3/1/21,,
MF BANK,3020,,,,159.5,257,red bluff,N 32.16001,W 87.24913,YES,,9/9/21,,
MF BANK,3019,,,,148,236.8,,N 32.039819,W 87.291128,YES,,3/1/21,,
MF BANK,3018,,,,138,220.8,,N 32.144522,W 87.340343,YES,,3/1/21,,
MF BANK,3017,,,,133.5,214.8,Upstream of MF dam,N 32.10740,W 87.39639,YES,,10/13/19,,
MF BANK,3029,,,,228,367,Lower Brother Bar,32.40231,86.84347,YES,,9/27/23,,
MF BANK,3030,,,,197.5,318,Little Miami,32.36422,87.04691,YES,,9/27/23,,
MF BANK,3031,,,,163.75,264,Gazebo house; Pinedale,32.16835,87.18695,YES,,9/27/23,,
MF BANK,3032,,,,208,335,Upstream of Selma,32.40189,87.00775,YES,,9/27/23,,
MF BANK,3033,,,,171.9,277,,32.19871,87.08728,YES,,9/27/23,,
MF BANK,3034,,,,218,351,New Everdale,32.40568,86.87096,YES,,9/27/23,,
MF BANK,3035,,,,153.75,247,,32.08248,87.24486,YES,,9/27/23,,